twitter_Id,page_rank_value,rank
1471978,6.077065870690568E-4,1
3649752,6.387094595712182E-4,2
5707550,6.649998381043632E-4,3
4377423,6.745946813349733E-4,4
7782609,6.795914802183219E-4,5
2700960,6.804027610626725E-4,6
2259432,6.833295264935291E-4,7
8789285,6.836924298217455E-4,8
5030784,6.867644278140653E-4,9
2179327,6.96367810041954E-4,10
8472618,6.978133598685748E-4,11
3626602,6.98080786050806E-4,12
4934131,6.998059399090297E-4,13
2318767,7.03926741557113E-4,14
6485769,7.08516959576478E-4,15
9155882,7.091610252068609E-4,16
2748197,7.177167153195695E-4,17
2646495,7.255132080856212E-4,18
2957772,7.301698391065067E-4,19
6913497,7.302943884395699E-4,20
9356216,7.302961034627831E-4,21
9851907,7.360072048660812E-4,22
7653651,7.386378852951214E-4,23
6455976,7.394821231218251E-4,24
2402411,7.407877086361175E-4,25
1539066,7.441440730859678E-4,26
9425510,7.466488482095586E-4,27
8173461,7.495346639953874E-4,28
1806209,7.49613127805915E-4,29
8391901,7.498756262768603E-4,30
1096341,7.550948928970683E-4,31
2638060,7.560456803182186E-4,32
9793979,7.570333101978983E-4,33
6582030,7.596298552047032E-4,34
3437913,7.599547401000456E-4,35
1668436,7.599729977434503E-4,36
9226397,7.606995633140331E-4,37
6481461,7.609491882582296E-4,38
1529424,7.612163872128955E-4,39
5138076,7.620379995532974E-4,40
7531262,7.670391898195525E-4,41
8427404,7.681118023251236E-4,42
8454880,7.687392394798545E-4,43
4365715,7.688242311975359E-4,44
5933227,7.712919745659434E-4,45
7477966,7.72856698615702E-4,46
7859596,7.732759645336884E-4,47
3594562,7.762976817746399E-4,48
1204234,7.768471414604733E-4,49
7455096,7.789262914164255E-4,50
9954898,7.789897398517751E-4,51
2177367,7.794721217422641E-4,52
7829410,7.801593263785825E-4,53
8209969,7.803760899430411E-4,54
4243127,7.804861605546755E-4,55
5113761,7.81163088086841E-4,56
1690192,7.814324889672667E-4,57
3157116,7.818532563878056E-4,58
4022175,7.821046482100599E-4,59
1711884,7.841600404894078E-4,60
9250496,7.843154710589933E-4,61
9260027,7.857755280356068E-4,62
5687916,7.861130417869534E-4,63
6141139,7.899053911054248E-4,64
2086868,7.900148166232847E-4,65
7486138,7.900769619860754E-4,66
9961958,7.917224077122863E-4,67
3519539,7.938339997674764E-4,68
3706371,7.951328353596698E-4,69
6738802,7.961517167541581E-4,70
2294718,7.973505433936404E-4,71
1249586,7.988376356046149E-4,72
1856773,7.989027546523997E-4,73
1257418,7.98925519602798E-4,74
4458449,7.99264450788458E-4,75
5662677,8.012334804976107E-4,76
8747945,8.016401196747986E-4,77
2330413,8.021981356153359E-4,78
3655785,8.02782236290105E-4,79
2478114,8.03170112277263E-4,80
8970819,8.052192418124499E-4,81
6859927,8.053903162453777E-4,82
1650035,8.064146272852316E-4,83
7005112,8.076898148167836E-4,84
2605421,8.116906481412182E-4,85
1125626,8.120349831306011E-4,86
1464600,8.122808723863398E-4,87
4114612,8.133326135417901E-4,88
1664327,8.138307355962593E-4,89
4991076,8.144517907156782E-4,90
5803467,8.158579410802808E-4,91
7002387,8.161291828405996E-4,92
2490733,8.161314796920938E-4,93
3207274,8.165675027737638E-4,94
6544285,8.168089934427183E-4,95
4533030,8.168503660666938E-4,96
9924885,8.169045966794985E-4,97
5036621,8.170112167142209E-4,98
4026550,8.173511052513642E-4,99
8801212,8.193820397359222E-4,100
8695774,8.197379549741727E-4,101
1031472,8.2083460327139E-4,102
4166269,8.210709917916908E-4,103
7182976,8.210785547340084E-4,104
3334084,8.211800782013563E-4,105
4980723,8.214837418047372E-4,106
4752721,8.217616124155794E-4,107
6938899,8.264120996537477E-4,108
4619101,8.270160023868103E-4,109
8030177,8.276316838646025E-4,110
1734698,8.282864723999975E-4,111
2495959,8.283071600022131E-4,112
5393765,8.2867594710688E-4,113
4462901,8.29027400542774E-4,114
7172539,8.291990706467574E-4,115
9792756,8.30575323387023E-4,116
5982707,8.315288786359088E-4,117
5889874,8.367711239829387E-4,118
9954031,8.369371178827901E-4,119
6653095,8.373991841213945E-4,120
1435488,8.377684450402011E-4,121
2254306,8.379381286332978E-4,122
8264869,8.379575446660269E-4,123
5900891,8.390436712344897E-4,124
1206360,8.393563147255739E-4,125
2424197,8.413175019582621E-4,126
8121876,8.417318835146907E-4,127
9339359,8.427990537865273E-4,128
4225833,8.437870159775587E-4,129
4240354,8.439708599675266E-4,130
5534871,8.440100194958565E-4,131
6867088,8.44893548256657E-4,132
8675697,8.466304269773781E-4,133
2853821,8.470677879924883E-4,134
8546388,8.47268601664066E-4,135
4577706,8.472705428264261E-4,136
1277738,8.483835561413236E-4,137
6093926,8.489054150342285E-4,138
9619738,8.490057963396E-4,139
9389699,8.494969192126122E-4,140
7214690,8.504640692218149E-4,141
5757844,8.515638035859723E-4,142
5219610,8.517044964452091E-4,143
2188101,8.517599579652886E-4,144
4309622,8.518499222241396E-4,145
8305983,8.523663622400935E-4,146
2281919,8.525921668202949E-4,147
3739644,8.527859899462107E-4,148
3389321,8.533062735943807E-4,149
9576113,8.533434512359735E-4,150
9071309,8.54721972401014E-4,151
8026077,8.54724243739881E-4,152
8347094,8.561695785688953E-4,153
1946571,8.576084064746923E-4,154
9977695,8.576876822252335E-4,155
8999365,8.580579928684913E-4,156
4332981,8.582633699376103E-4,157
9884243,8.58723916582171E-4,158
5517566,8.590505324335088E-4,159
7295677,8.608357037511789E-4,160
3635176,8.622843698895836E-4,161
1593455,8.625143827192537E-4,162
2618842,8.627742109206674E-4,163
9850279,8.629207381241381E-4,164
3284503,8.631708856431436E-4,165
9319739,8.633917013058061E-4,166
8800771,8.64060189116195E-4,167
2338913,8.64708872475585E-4,168
9268498,8.673130141843134E-4,169
4551567,8.673667413246003E-4,170
1949139,8.677413050897742E-4,171
2133395,8.677748394468401E-4,172
2311158,8.688546669531566E-4,173
3255753,8.690827766960216E-4,174
7783673,8.693728097230397E-4,175
5366437,8.704825775200146E-4,176
4702859,8.705038909844616E-4,177
7629306,8.709573106892378E-4,178
9307703,8.716753083043826E-4,179
8842676,8.717216501496009E-4,180
5450750,8.723550082411363E-4,181
9658636,8.729749017450161E-4,182
8577240,8.734253173405386E-4,183
6401696,8.737645286044621E-4,184
6531707,8.741175772171202E-4,185
9959113,8.74526564549278E-4,186
8065643,8.750410103220249E-4,187
6984517,8.753952629236781E-4,188
4405330,8.765660551686631E-4,189
1145568,8.77508526723478E-4,190
3168424,8.785119245307563E-4,191
9133831,8.788684097244754E-4,192
6092930,8.791515808360244E-4,193
5764177,8.792519802334626E-4,194
4331528,8.794222009753242E-4,195
4667458,8.795276204535288E-4,196
2780616,8.800474188629706E-4,197
7611545,8.810125226414309E-4,198
7399709,8.81215240798095E-4,199
1542527,8.814406324023108E-4,200
5831305,8.819087470358392E-4,201
2462495,8.821629879980842E-4,202
2583840,8.823018090686757E-4,203
8594392,8.823966024360465E-4,204
1954958,8.827711262706848E-4,205
5512927,8.834377428981866E-4,206
2911116,8.839193190911525E-4,207
8005277,8.851803883472803E-4,208
2103932,8.85190322525462E-4,209
2449985,8.853880672000192E-4,210
9019663,8.858532477909555E-4,211
2534323,8.86044292325186E-4,212
4041790,8.870408350587659E-4,213
1908249,8.875293487711815E-4,214
7865295,8.877701876973997E-4,215
7151986,8.883013592054061E-4,216
5638638,8.900621829650085E-4,217
2028085,8.902475689458731E-4,218
3501083,8.904196789322172E-4,219
8898306,8.904971931606803E-4,220
3395290,8.909991207797201E-4,221
2228661,8.924620746785384E-4,222
5580594,8.925819931099747E-4,223
8240908,8.926038246179602E-4,224
8303745,8.929278240915064E-4,225
9308586,8.930744389455117E-4,226
5610834,8.937348377366518E-4,227
1412956,8.942506576259095E-4,228
6050580,8.94703036239203E-4,229
4867152,8.954344018350833E-4,230
4014033,8.957209571785185E-4,231
1471816,8.961385189194545E-4,232
1295472,8.962970730526168E-4,233
2488488,8.966149735948564E-4,234
4521583,8.968554042686884E-4,235
9631160,8.976314415224295E-4,236
7569061,8.978248252432174E-4,237
9668755,8.981349317363102E-4,238
4468489,8.985521763207343E-4,239
9232145,8.985848216654039E-4,240
1523849,8.988464117499415E-4,241
5994464,8.98903970488313E-4,242
5307896,8.99343229191319E-4,243
8574468,8.9980007605261E-4,244
4785167,9.001039120446668E-4,245
5277892,9.010332350120502E-4,246
1713509,9.01262505508167E-4,247
4737717,9.022583696103115E-4,248
3650409,9.033232906396118E-4,249
8260562,9.03494348047195E-4,250
5501493,9.035213933674812E-4,251
2355992,9.036219746120673E-4,252
8683325,9.038657197425812E-4,253
3465110,9.038708931835589E-4,254
8136920,9.038855382837021E-4,255
8120670,9.040138762311834E-4,256
8274029,9.040416846805752E-4,257
5097105,9.045091141743854E-4,258
5001050,9.045442376616969E-4,259
1376797,9.046393512056276E-4,260
4071951,9.048375336988076E-4,261
6297623,9.051076233143847E-4,262
3303709,9.056143731828717E-4,263
4712166,9.056731053885575E-4,264
5149858,9.057729577210395E-4,265
1100961,9.05966602579668E-4,266
9362659,9.064440767449591E-4,267
9249313,9.066043897550659E-4,268
1900286,9.067304222393988E-4,269
2271799,9.068404993387807E-4,270
3852445,9.073584365754392E-4,271
8025211,9.074920754984366E-4,272
8557047,9.078044688129593E-4,273
4254646,9.098308041975411E-4,274
6258893,9.098788458457684E-4,275
9391192,9.105287630608417E-4,276
8536126,9.106945159700152E-4,277
1654211,9.112909157034858E-4,278
2708170,9.123338299478845E-4,279
4314596,9.131269316409031E-4,280
8559798,9.135804216216591E-4,281
6818873,9.138743493578733E-4,282
2349296,9.149339067257578E-4,283
9824488,9.151867703516465E-4,284
3872321,9.154131811139682E-4,285
6470704,9.157453732148451E-4,286
